iter	MultiClass
0	1.845998826
1	1.65496937
2	1.519682422
3	1.418015457
4	1.341658347
5	1.271819572
6	1.210431193
7	1.1569081
8	1.113568898
9	1.075793074
10	1.038692294
11	1.007136273
12	0.9800747422
13	0.9550661105
14	0.9344863158
15	0.9165661928
16	0.8974560171
17	0.8828108231
18	0.8681703211
19	0.8553400543
20	0.844647182
21	0.8339367236
22	0.8238411408
23	0.8140158242
24	0.8016418568
25	0.7885312543
26	0.7785837397
27	0.7694984147
28	0.7616238241
29	0.7514040844
30	0.7451653503
31	0.7390958942
32	0.7332919291
33	0.7285007453
34	0.7236822745
35	0.7189617132
36	0.7141270994
37	0.7090961856
38	0.7054500898
39	0.7017632743
40	0.6993813865
41	0.6962005689
42	0.6936543167
43	0.690954296
44	0.6891320064
45	0.6869021368
46	0.6830585578
47	0.6801001016
48	0.6786912075
49	0.676143071
50	0.6735363009
51	0.6717601139
52	0.669339346
53	0.667756278
54	0.6676561453
55	0.665643073
56	0.6640457368
57	0.6626361752
58	0.6604896832
59	0.6602616841
60	0.6582206217
61	0.6580179081
62	0.6572193223
63	0.6551219527
64	0.6538147683
65	0.6516101308
66	0.6502458223
67	0.6487250579
68	0.6478441473
69	0.6475662418
70	0.646673956
71	0.644892561
72	0.643518171
73	0.6426971158
74	0.6413607259
75	0.6408037562
76	0.6395387794
77	0.6387517153
78	0.6381838062
79	0.6376832325
80	0.6370170187
81	0.6363212441
82	0.6352520098
83	0.634765514
84	0.6337661017
85	0.6335643803
86	0.6332967689
87	0.6327376101
88	0.632635669
89	0.6320661258
90	0.6315471193
91	0.6312244437
92	0.6302329382
93	0.6299955863
94	0.6293669133
95	0.6284242018
96	0.6281169535
97	0.6277317078
98	0.62730517
99	0.6263608598
100	0.6250179529
101	0.6238023226
102	0.6233026733
103	0.6220991962
104	0.6217593411
105	0.6207198801
106	0.6204353527
107	0.6200118142
108	0.6193324408
109	0.6192200806
110	0.6188102304
111	0.6183724615
112	0.6177442503
113	0.6175385634
114	0.6172394296
115	0.6170691077
116	0.6168282606
117	0.6158925413
118	0.6154758787
119	0.6152686369
120	0.6144654787
121	0.6139987136
122	0.6137635909
123	0.6132824239
124	0.6127446478
125	0.612232947
126	0.6120289252
127	0.6117351224
128	0.61119364
129	0.6108466202
130	0.610451569
131	0.6095381696
132	0.6094713804
133	0.6088846684
134	0.6085633048
135	0.6080376264
136	0.6076270205
137	0.6071850197
138	0.6067435041
139	0.6063187944
140	0.6059920135
141	0.6052575459
142	0.6043010666
143	0.6034712754
144	0.6032792895
145	0.6021657806
146	0.6019176319
147	0.601770593
148	0.6013418663
149	0.6010922203
150	0.6001171733
151	0.5999322751
152	0.599305753
153	0.599033744
154	0.5989382525
155	0.5986174385
156	0.5979658789
157	0.5974142219
158	0.5971928645
159	0.5970097103
160	0.5968091867
161	0.5959348964
162	0.5956505013
163	0.5953853969
164	0.5949246789
165	0.5947530074
166	0.594508419
167	0.5941201502
168	0.5936069129
169	0.5934361047
170	0.5931650178
171	0.5929824116
172	0.5925311982
173	0.5923924893
174	0.5922485111
175	0.5919800548
176	0.5917881783
177	0.5913708047
178	0.5911715649
179	0.5910864648
180	0.5906215567
181	0.590495169
182	0.5898935084
183	0.5897855865
184	0.5894433018
185	0.5885277728
186	0.5883784649
187	0.5882275295
188	0.5879987319
189	0.5876154078
190	0.5872726176
191	0.5871371987
192	0.5868183475
193	0.5864555396
194	0.5863159521
195	0.5861110256
196	0.5859182913
197	0.5856102515
198	0.5854737235
199	0.5853175793
