iter	Passed	Remaining
0	5165	1027860
1	9717	962000
2	14784	970845
3	19168	939236
4	23679	923510
5	29161	942888
6	37739	1040542
7	43609	1046616
8	49001	1039930
9	54758	1040416
10	62333	1071003
11	71781	1124578
12	77125	1109416
13	82533	1096519
14	87615	1080594
15	92878	1068108
16	99884	1075222
17	105998	1071767
18	112103	1067933
19	118125	1063131
20	123639	1053882
21	128808	1042178
22	133841	1029998
23	138801	1017874
24	144510	1011572
25	149669	1001636
26	154723	991379
27	159902	982258
28	164930	972519
29	170099	963899
30	175207	955162
31	180135	945710
32	184955	935988
33	190051	927900
34	196160	924756
35	202886	924260
36	208720	919500
37	214074	912635
38	218751	903049
39	223970	895882
40	228498	886127
41	233669	879042
42	240308	877404
43	246843	875171
44	252269	868929
45	256865	859940
46	262546	854674
47	269245	852611
48	277199	854225
49	283269	849809
50	289492	845772
51	294563	838372
52	299549	830826
53	306366	828323
54	308921	814429
55	313907	807191
56	319184	800762
57	324801	795202
58	330072	788817
59	335351	782487
60	341098	777257
61	346859	772041
62	352778	767152
63	358383	761564
64	364050	756104
65	369924	751058
66	376914	748204
67	382240	741995
68	387901	736450
69	394572	732776
70	400412	727509
71	405335	720596
72	411190	715359
73	417885	711534
74	423559	705932
75	429472	700718
76	435201	695191
77	440805	689465
78	446165	683368
79	451620	677430
80	458431	673497
81	463871	667523
82	468732	660742
83	473199	653465
84	480004	649417
85	488005	646890
86	493232	640635
87	497940	633743
88	502423	626617
89	508129	621047
90	517293	619614
91	526829	618452
92	533169	613431
93	541020	610086
94	549509	607352
95	554591	600807
96	558681	593239
97	563981	587001
98	568870	580362
99	573945	573945
100	578833	567371
101	583515	560632
102	588561	554276
103	593689	548020
104	599269	542196
105	605724	537151
106	615675	535119
107	620695	528740
108	626848	523332
109	633280	518138
110	638557	511996
111	643523	505625
112	647946	498861
113	653100	492689
114	658553	486757
115	663786	480672
116	668128	473971
117	673204	467820
118	678872	462089
119	684394	456263
120	689002	449844
121	693772	443559
122	700405	438465
123	705784	432577
124	710369	426221
125	715519	420225
126	720643	414228
127	725884	408309
128	731030	402350
129	735953	396282
130	740316	389937
131	745094	383836
132	750227	377934
133	755485	372104
134	759939	365896
135	766311	360617
136	771683	354861
137	776867	349027
138	781686	343042
139	787370	337444
140	792598	331654
141	797516	325746
142	804540	320690
143	809767	314909
144	814938	309114
145	819913	303255
146	825997	297808
147	832239	292408
148	836858	286441
149	841940	280646
150	847630	275058
151	852251	269132
152	856689	263165
153	861498	257330
154	866903	251681
155	871443	245791
156	876347	240018
157	881910	234431
158	886280	228537
159	892004	223001
160	897186	217330
161	902058	211593
162	906902	205861
163	914397	200721
164	920673	195294
165	925944	189651
166	930476	183866
167	935800	178247
168	941200	172646
169	946911	167102
170	953627	161726
171	959579	156210
172	964528	150533
173	969752	144905
174	974050	139150
175	978300	133404
176	983459	127794
177	988599	122186
178	993826	116594
179	999105	111011
180	1004754	105471
181	1009009	99792
182	1014795	94270
183	1020780	88763
184	1027595	83318
185	1032392	77706
186	1037172	72102
187	1043057	66578
188	1047646	60974
189	1053849	55465
190	1060243	49959
191	1065500	44395
192	1071485	38862
193	1077869	33336
194	1084243	27801
195	1089758	22239
196	1096042	16691
197	1100738	11118
198	1107050	5563
199	1111438	0
